Model,Feature,BaselineROCAUC,MeanDecreaseROCAUC,StdDecreaseROCAUC
k-NN,DaysSinceLastMatchDifference,0.7005109879217817,0.0021485367530564106,0.0007150117735994669
k-NN,MissingPlayer1DaysSinceLastMatch,0.7005109879217817,0.002869009466541376,0.0013256924700791144
k-NN,MissingPlayer2DaysSinceLastMatch,0.7005109879217817,0.0012267800700746696,0.0031667513327431414
k-NN,RankDifference,0.7005109879217817,0.008248512838908187,0.0005964443066204719
k-NN,PointsDifference,0.7005109879217817,0.0036108200507544894,0.0006259028073941362
k-NN,Series,0.7005109879217817,-0.0032879003849864232,0.0011662296809483712
k-NN,Court,0.7005109879217817,0.00021219873286471014,0.0005877372966379245
k-NN,Surface,0.7005109879217817,-0.0017497053997203398,0.0009318276711679698
k-NN,Round,0.7005109879217817,-0.0017912011667589045,0.00014939865599395178
k-NN,Best of,0.7005109879217817,-9.410295984794519e-05,0.0011839464835356548
AdaBoost,Player1Rank,0.6987233266782776,0.0,0.0
AdaBoost,Player2Rank,0.6987233266782776,0.0,0.0
AdaBoost,Player1Points,0.6987233266782776,-0.00013746701971499112,6.262393007039277e-06
AdaBoost,Player2Points,0.6987233266782776,0.0003493707589753055,9.371463917181116e-05
AdaBoost,Player1MatchesBefore,0.6987233266782776,0.0008518431987061629,0.00021144180920053087
AdaBoost,Player2MatchesBefore,0.6987233266782776,0.0005388549842906635,0.0003064357757600586
AdaBoost,ExperienceDifference,0.6987233266782776,0.0002445496981624921,0.00010958631914514308
AdaBoost,Player1WinRateBefore,0.6987233266782776,0.00022370348344180613,0.000603368890054551
AdaBoost,Player2WinRateBefore,0.6987233266782776,0.000397159722910545,0.00025424071721494426
AdaBoost,WinRateDifference,0.6987233266782776,-0.0004892960587280873,0.0006316956951999022
AdaBoost,Player1Recent5WinRate,0.6987233266782776,0.0,0.0
AdaBoost,Player2Recent5WinRate,0.6987233266782776,0.0,0.0
AdaBoost,Recent5WinRateDifference,0.6987233266782776,0.0015732992242061632,0.0013652608767716341
AdaBoost,Player1SurfaceMatchesBefore,0.6987233266782776,0.0017574735646398443,0.00012366070288723558
AdaBoost,Player2SurfaceMatchesBefore,0.6987233266782776,0.0016960165636942248,0.0007095356562736998
AdaBoost,SurfaceMatchesDifference,0.6987233266782776,0.0004758246841208476,0.00023042494091891186
AdaBoost,Player1SurfaceWinRateBefore,0.6987233266782776,0.0,0.0
AdaBoost,Player2SurfaceWinRateBefore,0.6987233266782776,0.0004423920756065162,2.394884624101661e-05
AdaBoost,SurfaceWinRateDifference,0.6987233266782776,0.005789937807481753,0.0015496599723413237
AdaBoost,H2HMatchesBefore,0.6987233266782776,0.0,0.0
AdaBoost,Player1H2HWinRateBefore,0.6987233266782776,0.0002643142696666286,0.00017160735820609518
AdaBoost,Player2H2HWinRateBefore,0.6987233266782776,-6.588190501362796e-05,4.540495802402174e-05
AdaBoost,DifferenceH2HWinRateBefore,0.6987233266782776,-5.132888718972772e-05,8.918374359742553e-06
AdaBoost,Player1DaysSinceLastMatch,0.6987233266782776,0.0,0.0
AdaBoost,Player2DaysSinceLastMatch,0.6987233266782776,0.0,0.0
AdaBoost,DaysSinceLastMatchDifference,0.6987233266782776,0.0006867451113660161,5.612170952360164e-05
AdaBoost,MissingPlayer1DaysSinceLastMatch,0.6987233266782776,0.0,0.0
AdaBoost,MissingPlayer2DaysSinceLastMatch,0.6987233266782776,0.0,0.0
AdaBoost,RankDifference,0.6987233266782776,0.005201622228830065,0.0005246119353216613
AdaBoost,PointsDifference,0.6987233266782776,0.08781182790623765,0.005719806225139012
AdaBoost,Series,0.6987233266782776,0.0,0.0
AdaBoost,Court,0.6987233266782776,0.0,0.0
AdaBoost,Surface,0.6987233266782776,0.0,0.0
AdaBoost,Round,0.6987233266782776,0.0,0.0
AdaBoost,Best of,0.6987233266782776,0.0,0.0
XGBoost,Player1Rank,0.7031609154713526,0.00029106035647818995,0.00017824276415187308
XGBoost,Player2Rank,0.7031609154713526,-0.00013510707087860396,0.00011490168146961902
XGBoost,Player1Points,0.7031609154713526,-5.034557517454482e-05,0.00020973711055367007
XGBoost,Player2Points,0.7031609154713526,0.000714081185386554,0.0002659572352751578
XGBoost,Player1MatchesBefore,0.7031609154713526,0.0006368911921990072,0.0004666366817807792
XGBoost,Player2MatchesBefore,0.7031609154713526,0.001369950299477581,0.00018216008348894916
XGBoost,ExperienceDifference,0.7031609154713526,0.0003436675492875703,0.00023486863933774917
XGBoost,Player1WinRateBefore,0.7031609154713526,0.00010206778717040492,0.0004999265821421984
XGBoost,Player2WinRateBefore,0.7031609154713526,0.0006529191780455523,0.00029153183150522794
XGBoost,WinRateDifference,0.7031609154713526,-4.513402149438258e-05,0.0009424932868137366
XGBoost,Player1Recent5WinRate,0.7031609154713526,0.0002258667698751271,0.0001943830033917853
XGBoost,Player2Recent5WinRate,0.7031609154713526,0.0,0.0
XGBoost,Recent5WinRateDifference,0.7031609154713526,0.0015318034571677464,0.0010253986840409652
XGBoost,Player1SurfaceMatchesBefore,0.7031609154713526,0.002745013821433736,0.0007896773031157794
XGBoost,Player2SurfaceMatchesBefore,0.7031609154713526,0.001992091811449548,0.0006676639199715334
XGBoost,SurfaceMatchesDifference,0.7031609154713526,0.0006407261090580393,0.000291117090709674
XGBoost,Player1SurfaceWinRateBefore,0.7031609154713526,-0.0001207507154577699,1.8590579238612485e-05
XGBoost,Player2SurfaceWinRateBefore,0.7031609154713526,0.0007956960826423684,0.0004068934187618934
XGBoost,SurfaceWinRateDifference,0.7031609154713526,0.004615469936611771,0.0006995080697806912
XGBoost,H2HMatchesBefore,0.7031609154713526,-1.1799744181750782e-06,0.0
XGBoost,Player1H2HWinRateBefore,0.7031609154713526,0.0006387594850277475,0.0005189956958682615
XGBoost,Player2H2HWinRateBefore,0.7031609154713526,0.0,0.0
XGBoost,DifferenceH2HWinRateBefore,0.7031609154713526,0.0,0.0
XGBoost,Player1DaysSinceLastMatch,0.7031609154713526,0.00017030964102038304,6.489024920862288e-05
XGBoost,Player2DaysSinceLastMatch,0.7031609154713526,0.0002881104204327893,0.00011415333515040041
XGBoost,DaysSinceLastMatchDifference,0.7031609154713526,0.0016942466020671103,0.00013539088839890345
XGBoost,MissingPlayer1DaysSinceLastMatch,0.7031609154713526,0.0,0.0
XGBoost,MissingPlayer2DaysSinceLastMatch,0.7031609154713526,0.0,0.0
XGBoost,RankDifference,0.7031609154713526,0.0063909381111284524,0.0005551614182168197
XGBoost,PointsDifference,0.7031609154713526,0.05901946879125005,0.0031137403411308036
XGBoost,Series,0.7031609154713526,0.00022557177627065736,0.0003161070250496438
XGBoost,Court,0.7031609154713526,0.0,0.0
XGBoost,Surface,0.7031609154713526,0.0,0.0
XGBoost,Round,0.7031609154713526,-3.5399232544512196e-06,6.0167125837134075e-06
XGBoost,Best of,0.7031609154713526,3.992246781429435e-05,8.964872413349506e-06
LightGBM,Player1Rank,0.7016239987917061,-0.0006474126307608463,0.00039929316503577525
LightGBM,Player2Rank,0.7016239987917061,0.00034592916692222087,0.00045202629806303157
