MatchID,Date,SourceYear,ATP,Location,Tournament,Series,Court,Surface,Round,Best of,Player1,Player2,Player1Rank,Player2Rank,Player1Points,Player2Points,Player1B365Odds,Player2B365Odds,Player1PSOdds,Player2PSOdds,Player1MaxOdds,Player2MaxOdds,Player1AvgOdds,Player2AvgOdds,Player1Won
57,2015-01-08,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,2nd Round,3.0,Kukushkin M.,Raonic M.,69.0,8.0,705.0,4440.0,4.0,1.22,4.46,1.25,4.46,1.25,4.0,1.23,0
58,2015-01-08,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3.0,Bautista R.,Gojowczyk P.,15.0,102.0,2110.0,539.0,1.33,3.25,1.4,3.23,1.4,3.28,1.35,3.09,1
59,2015-01-08,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3.0,Bedene A.,Lopez F.,156.0,14.0,325.0,2130.0,2.75,1.4,2.8,1.5,2.95,1.5,2.71,1.44,1
60,2015-01-08,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3.0,Ito T.,Garcia-Lopez G.,87.0,36.0,576.0,1020.0,2.62,1.44,2.52,1.6,2.75,1.6,2.51,1.51,0
61,2015-01-08,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,2nd Round,3.0,Lu Y.H.,Carreno-Busta P.,38.0,49.0,993.0,841.0,1.44,2.62,1.59,2.53,1.59,2.88,1.47,2.6,1
62,2015-01-08,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3.0,Gasquet R.,Berdych T.,26.0,7.0,1350.0,4600.0,2.75,1.4,3.12,1.43,3.12,1.48,2.77,1.43,0
63,2015-01-08,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3.0,Brown D.,Ferrer D.,98.0,10.0,549.0,4045.0,7.0,1.1,6.84,1.14,7.0,1.14,6.27,1.11,0
64,2015-01-08,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3.0,Djokovic N.,Karlovic I.,1.0,27.0,11360.0,1320.0,1.05,11.0,1.06,12.5,1.07,13.0,1.05,9.82,0
65,2015-01-08,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Quarterfinals,3.0,Dodig I.,Seppi A.,89.0,45.0,575.0,870.0,1.83,1.83,1.88,2.05,2.0,2.07,1.84,1.92,0
66,2015-01-09,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3.0,Klizan M.,Dimitrov G.,34.0,11.0,1094.0,3645.0,3.5,1.28,4.22,1.28,4.22,1.31,3.59,1.28,0
67,2015-01-09,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3.0,Federer R.,Duckworth J.,2.0,125.0,9625.0,430.0,1.05,11.0,1.06,13.4,1.07,15.0,1.05,9.84,1
68,2015-01-09,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3.0,Nishikori K.,Tomic B.,5.0,53.0,5025.0,797.0,1.33,3.25,1.4,3.3,1.4,3.4,1.34,3.15,1
69,2015-01-09,2015,1,Brisbane,Brisbane International,ATP250,Outdoor,Hard,Quarterfinals,3.0,Raonic M.,Groth S.,8.0,85.0,4440.0,586.0,1.16,5.0,1.19,5.53,1.2,5.53,1.17,4.83,1
70,2015-01-09,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,Quarterfinals,3.0,Bautista R.,Lu Y.H.,15.0,38.0,2110.0,993.0,1.28,3.5,1.33,3.73,1.34,3.75,1.29,3.46,1
71,2015-01-09,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,Quarterfinals,3.0,Bedene A.,Garcia-Lopez G.,156.0,36.0,325.0,1020.0,1.8,1.9,1.93,1.99,1.93,2.0,1.85,1.91,1
72,2015-01-09,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,Quarterfinals,3.0,Haider-Maurer A.,Goffin D.,79.0,22.0,621.0,1599.0,7.0,1.1,7.65,1.13,7.65,1.15,6.13,1.11,0
73,2015-01-09,2015,2,Chennai,Chennai Open,ATP250,Outdoor,Hard,Quarterfinals,3.0,Wawrinka S.,Muller G.,4.0,46.0,5120.0,855.0,1.14,5.5,1.18,5.92,1.2,5.92,1.17,4.88,1
74,2015-01-09,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Semifinals,3.0,Berdych T.,Seppi A.,7.0,45.0,4600.0,870.0,1.08,8.0,1.1,9.05,1.12,9.05,1.09,7.17,1
75,2015-01-09,2015,3,Doha,Qatar Exxon Mobil Open,ATP250,Outdoor,Hard,Semifinals,3.0,Ferrer D.,Karlovic I.,10.0,27.0,4045.0,1320.0,1.36,3.0,1.44,3.07,1.44,3.2,1.39,2.93,1
